Name,Author(s),License,Links
Godot Engine,Multiple,MIT,"[url=https://godotengine.org/]Website[/url], [url=https://github.com/godotengine/godot/blob/master/LICENSE.txt]License[/url]"
SCP - Containment Breach,Regalis11,CC-BY-SA 3.0,"[url=https://scpcbgame.com/]Website[/url], [url=https://github.com/Regalis11/scpcb/blob/master/Credits.txt]Credits[/url]"
SCP: Secret Laboratory,Northwood Studios,Other,"[url=https://scpslgame.com/]Website[/url], [url=https://store.steampowered.com/app/700330/SCP_Secret_Laboratory/]Steam[/url]"
Opus,Multiple,3-Clause BSD,"[url=https://opus-codec.org/]Website[/url], [url=https://gitlab.xiph.org/xiph/opus/-/blob/master/COPYING]License[/url]"
NWaves,ar1st0crat,MIT,[url=https://github.com/ar1st0crat/NWaves/blob/master/LICENSE]License[/url]
GodotSteam,GP Garcia and Contributors,MIT,[url=https://github.com/GodotSteam/GodotSteam/blob/godot4/license.txt]License[/url]
steam-multiplayer-peer,Expresso Bits,MIT,[url=https://github.com/expressobits/steam-multiplayer-peer/blob/main/LICENSE]License[/url]
uLipSync,hecomi,MIT,[url=https://github.com/hecomi/uLipSync/blob/main/LICENSE.md]License[/url]
DeBroglie,Adam Newgas,MIT,[url=https://github.com/BorisTheBrave/DeBroglie/blob/master/LICENSE.txt]License[/url]
Heater Vent Hit Higher Part,Ev-Dawg,CC0,[url=https://freesound.org/people/Ev-Dawg/sounds/336356/]Link[/url]
Heater Vent Hit Lower Part,Ev-Dawg,CC0,[url=https://freesound.org/people/Ev-Dawg/sounds/336355/]Link[/url]
Pistol Reload Sound,MaximBomba,CC0,[url=https://freesound.org/people/MaximBomba/sounds/432139/]Link[/url]
Gunshot1,alukahn,CC-BY 3.0,[url=https://freesound.org/people/alukahn/sounds/171237/]Link[/url]
Gunshot2,alukahn,CC-BY 3.0,[url=https://freesound.org/people/alukahn/sounds/171236/]Link[/url]
8mm Projector Close Left Side,videofueralle,CC0,[url=https://freesound.org/people/videofueralle/sounds/613836/]Link[/url]
"Metal038, Fingerprints003",Lennart Demes,CC0,"[url=https://ambientcg.com/]Website[/url], [url=https://docs.ambientcg.com/license/]License[/url]"
EBU Colorbars 75 0 75 0,4throck,CC0,[url=https://commons.wikimedia.org/wiki/File:EBU_Colorbars_75_0_75_0.svg]Link[/url]
Opus.NET,John Carruthers,MIT,[url=https://github.com/DevJohnC/Opus.NET/blob/master/license.txt]License[/url]
Discord SDK Godot,vaporvee,MIT,[url=https://github.com/vaporvee/discord-sdk-godot/blob/main/LICENSE.md]License[/url]
Discord Game SDK,Discord Inc.,Other,[url=https://discord.com/]Website[/url]
Godot Radial Menu,Will Whitty,MIT,[url=https://github.com/tavurth/godot-radial-menu/blob/4.x/LICENSE.txt]License[/url]
Godot Jolt,Multiple,MIT,[url=https://github.com/godot-jolt/godot-jolt/blob/master/LICENSE.txt]License[/url]
Jolt Physics,Jorrit Rouwe,MIT,[url=https://github.com/godot-jolt/jolt/blob/master/LICENSE]License[/url]
VideoTronic Super 8mm Projector,ajoyce86,CC0,[url=https://freesound.org/people/ajoyce86/sounds/213741/]Link[/url]
Roboto Font,Christian Robertson,Apache-2.0,[url=https://fonts.google.com/specimen/Roboto]Link[/url]
Oswald Font,"Vernon Adams, Kalapi Gajjar, Cyreal",Open Font License,[url=https://fonts.google.com/specimen/Oswald]Link[/url]
Anton Font,Vernon Adams,Open Font License,[url=https://fonts.google.com/specimen/Anton]Link[/url]
DotGothic16 Font,Fontworks Inc.,Open Font License,[url=https://fonts.google.com/specimen/DotGothic16]Link[/url]
Source Code Pro Font,Paul D. Hunt,Open Font License,[url=https://fonts.google.com/specimen/Source+Code+Pro]Link[/url]
Alfa Slab One,JM Solé,Open Font License,[url=https://fonts.google.com/specimen/Alfa+Slab+One]Link[/url]
Rubik,Multiple,Open Font License,[url=https://fonts.google.com/specimen/Rubik]Link[/url]
Cardboard burning 1,raremess,CC0,[url=https://freesound.org/people/raremess/sounds/222558/]Link[/url]
Lowpoly Worn Jerrycan,Guy in a Poncho,CC-BY 4.0,[url=https://www.fab.com/listings/88074ea4-91ed-4d77-8d94-6bba4042c377]Link[/url]
Metal Hit 1,DasDeer,CC-BY 4.0,[url=https://freesound.org/people/DasDeer/sounds/167308/]Link[/url]
Vosk,Alpha Cephei,Apache-2.0,[url=https://github.com/alphacep/vosk-api]Link[/url]
GodotSpeechRecognition,unusualprojects,Apache-2.0,[url=https://github.com/unusualprojects/GodotSpeechRecognition]Link[/url]
Forest soldier (outdated),buh-late,CC-BY 4.0,[url=https://sketchfab.com/3d-models/forest-soldier-outdated-b265975196394070837366de9a0ddb7c]Link[/url]
M67 Fragmentation Grenade,Vextin,CC-BY 4.0,[url=https://sketchfab.com/3d-models/m67-fragmentation-grenade-05e2a29118c3408eaa574bcec6997aba]Link[/url]
WindowGlass.mp3,P.Jezisek,Attribution 3.0,[url=https://freesound.org/people/P.Jezisek/sounds/519349/]Link[/url]
godot_PCKManager,MrJustreborn,MIT,[url=https://github.com/MrJustreborn/godot_PCKManager]Link[/url]
Full Reload of a Pistol (Mixed),EvanBoyerman,CC-BY 3.0,[url=https://freesound.org/people/EvanBoyerman/sounds/370251/]Link[/url]
Laser Machine Gun,Mike Koenig,CC-BY 3.0,[url=https://soundbible.com/1774-Laser-Machine-Gun.html]Link[/url]
Tomlyn,xoofx,BSD-2-Clause,[url=https://github.com/xoofx/Tomlyn/blob/main/license.txt]License[/url]
Door slam 1 and 2,bennstir,CC-BY 4.0,[url=https://freesound.org/people/bennstir/sounds/80928/]Link[/url]
