keys,en
ADMIN_PANEL_BAN,No more
ADMIN_PANEL_BRING,Come here
ADMIN_PANEL_HEAL,Feel good
ADMIN_PANEL_KICK,Bye
ADMIN_PANEL_KILL,Death
ADMIN_PANEL_MODERATION_REASON,Why?
ADMIN_PANEL_TELEPORT_TO,On my way
ADMIN_PANEL_TITLE,[center]Secret Controls[/center]
GAME_MENU_EXIT,Leave
GAME_MENU_RETURN,I'm back
GAME_MENU_TITLE,AFK
LOADING_TEXT,Loading...
MAIN_MENU_BACK,BACK
MAIN_MENU_LABEL,:^)
MAIN_MENU_PLAY,PLAY
MAIN_MENU_QUIT,RAGE
MAIN_MENU_SETTINGS,TOO LOUD
NETWORK_KICKED,Banned.
NETWORK_CONNECTING,Connecting...
NETWORK_DISCONNECTED,Disconnected.
NETWORK_KICKED,Someone didn't like you.
PLAY_MENU_CONNECT,CONNECT
PLAY_MENU_CREATE_SERVER,CREATE SERVER
PLAY_MENU_DIRECT_CONNECT,DIRECT CONNECT
PLAY_MENU_IP_ADDRESS,IP ADDRESS
PLAY_MENU_JOIN_LISTING,JOIN
PLAY_MENU_JOIN_SERVER,JOIN SERVER
PLAY_MENU_REFRESH,REFRESH
PLAY_MENU_SERVER_LIST,SERVER LIST
PLEASE_WAIT_TEXT,Pls wait for stuff
ROLE_NAME_CLASSD,D-Boi
ROLE_NAME_NTF,Trans or something
ROLE_NAME_SCP_106,Scary #106
ROLE_NAME_SCP_173,Scary #173
ROLE_NAME_SPECTATOR,"Dead, LOL"
ROLE_OBJ_CLASSD,RUN!
ROLE_OBJ_NTF,[color=#f00]Kill[/color] the Scary Monsters
ROLE_OBJ_SCP_106,[color=#f00]Kill[/color]
ROLE_OBJ_SCP_173,[color=#f00]Kill[/color]
ROLE_OBJ_SPECTATOR,You died a hero and not an evil
SETTINGS_MENU_OLD_MUSIC,Old Music
SETTINGS_MENU_USERNAME,Pro Noun
SETTINGS_MENU_VOLUME,Volume
