keys,en
ADMIN_PANEL_BAN,Ban
ADMIN_PANEL_BRING,Bring
ADMIN_PANEL_HEAL,Heal
ADMIN_PANEL_KICK,Kick
ADMIN_PANEL_KILL,Kill
ADMIN_PANEL_MODERATION_REASON,Moderation Reason
ADMIN_PANEL_TELEPORT_TO,Teleport To
ADMIN_PANEL_TITLE,[center]Admin Panel[/center]
ADMIN_PANEL_DELETE_PROP,Delete Grabbed Props
ADMIN_PANEL_IGNORE_WEIGHT,Ignore Prop Weight
ADMIN_PANEL_CLEAR_EFFECTS,Clear All Effects
DAMAGE_CAUSE_UNKNOWN,Unknown
DAMAGE_CAUSE_CRUSHED,Crushed
DAMAGE_CAUSE_SCP173,SCP-173
DAMAGE_CAUSE_SCP106,SCP-106
DAMAGE_CAUSE_GUNLIGHT,Small gunshot
DAMAGE_CAUSE_GUNHEAVY,Large gunshot
DAMAGE_CAUSE_GAS,Gas
DAMAGE_CAUSE_NUKE,Nuclear explosion
DAMAGE_CAUSE_SCP457,SCP-457
DAMAGE_CAUSE_FIRE,3rd degree burns
DAMAGE_CAUSE_SCP207,SCP-207
DAMAGE_CAUSE_SCP049_2,SCP-049-2
DAMAGE_CAUSE_SCP008,SCP-008
DAMAGE_CAUSE_FALL,Fall
DAMAGE_CAUSE_ELECTRICSHOCK,Electrical Shock
DAMAGE_CAUSE_SCP049,SCP-049
DAMAGE_CAUSE_GENERIC,Generic
DAMAGE_CAUSE_SCP939,SCP-939
GAME_MENU_EXIT,Exit to Menu
GAME_MENU_RETURN,Return to Game
GAME_MENU_TITLE,In Game Menu
GAME_MENU_SETTINGS,Settings
GAME_WIP_WARNING,This game is a work-in-progress.\nEverything seen here is subject to change.\n
GAME_WIP_WARNING_CLOSE,This popup can be closed by pressing the Escape key.
LOADING_TEXT,Loading...
MAIN_MENU_BACK,BACK
MAIN_MENU_CREDITS,CREDITS
MAIN_MENU_INPUT,INPUTS
MAIN_MENU_ISSUES,ISSUES/FEEDBACK
GAME_MENU_ISSUES,Issues/Feedback
MAIN_MENU_LABEL,MAIN MENU
MAIN_MENU_PLAY,PLAY
MAIN_MENU_QUIT,QUIT
MAIN_MENU_SETTINGS,SETTINGS
MAIN_MENU_ESC,Press Escape to Cancel/Close
NETWORK_BANNED,You have been banned from this server >:(
NETWORK_CONNECTING,Connecting...
NETWORK_DISCONNECTED,Disconnected.
NETWORK_KICKED,You have been kicked from the server :(
PLAY_MENU_CONNECT,CONNECT
PLAY_MENU_CREATE_SERVER,CREATE LOBBY
PLAY_MENU_DIRECT_CONNECT,DIRECT CONNECT
PLAY_MENU_INFO_LISTING,INFO
PLAY_MENU_IP_ADDRESS,IP ADDRESS
PLAY_MENU_JOIN_LISTING,JOIN
PLAY_MENU_JOIN_SERVER,JOIN SERVER
PLAY_MENU_JOIN_LOBBY,JOIN LOBBY
PLAY_MENU_REFRESH,REFRESH
PLAY_MENU_SEARCH,Search
PLAY_MENU_SERVER_LIST,SERVER LIST
PLAY_MENU_LOBBY_LIST,LOBBY LIST
PLEASE_WAIT_TEXT,Please Wait
ROLE_INTRO,You Are
ROLE_NAME_CI,Chaos Insurgency
ROLE_NAME_CLASSD,Class-D
ROLE_NAME_NTF,Nine-Tailed Fox
ROLE_NAME_SCIENTIST,Scientist
ROLE_NAME_SCP_008,SCP-049-2
ROLE_NAME_SCP_860_2,SCP-860-2
ROLE_NAME_SCP_860_3,SCP-860-3
ROLE_NAME_SCP_049,SCP-049
ROLE_NAME_SCP_106,SCP-106
ROLE_NAME_SCP_173,SCP-173
ROLE_NAME_SCP_457,SCP-457
ROLE_NAME_SCP_939,SCP-939
ROLE_NAME_TAXMAN,Tax Collector
ROLE_NAME_SPECTATOR,Spectator
ROLE_NAME_NTF_FOREST,Mobile Task Force Unit
ROLE_OBJ_CI,Contain enemy factions.\nCooperate with your fellow [color=#365730]Chaos Insurgents[/color].
ROLE_OBJ_CLASSD,Escape from the facility.
ROLE_OBJ_NTF,Contain hostile [color=#f00]SCPs[/color] subjects.\nCooperate with your [color=#00f]Nine-Tailed Fox[/color] Unit.
ROLE_OBJ_SCIENTIST,Escape from the facility.\nCooperate with your fellow [color=#ff5]Scientists[/color].
ROLE_OBJ_SCP_008,Kill everyone.\nPrevent escape.\nCooperate with other [color=#f00]SCPs.[/color]
ROLE_OBJ_SCP_049,Kill everyone.\nPrevent escape.\nCooperate with other [color=#f00]SCPs.[/color]
ROLE_OBJ_SCP_106,Kill everyone.\nPrevent escape.\nCooperate with other [color=#f00]SCPs.[/color]
ROLE_OBJ_SCP_173,Kill everyone.\nPrevent escape.\nCooperate with other [color=#f00]SCPs.[/color]
ROLE_OBJ_SCP_457,Kill everyone.\nCooperate with other [color=#f00]SCPs.[/color]
ROLE_OBJ_SCP_939,Kill everyone.\nPrevent escape.\nCooperate with other [color=#f00]SCPs.[/color]
ROLE_OBJ_TAXMAN,Collect Taxes from people.
ROLE_OBJ_SPECTATOR,You will respawn soon.
ROLE_OBJ_SCP_860_2,Kill the humans.
ROLE_OBJ_SCP_860_3,Kill the humans.
ROLE_OBJ_NTF_FOREST,Survive.
ROLE_HINT_SCP_173,[color=#00ff00]You can only move when nobody is watching.[/color]
ROLE_HINT_SCP_106,[color=#00ff00]You can walk through closed doors.\nPress [lb]%INPUT_PLAYER_INVENTORY_BIND%[rb] to create and use portals.[/color]
ROLE_HINT_SCP_049,[color=#00ff00]You can revive dead corpses with [lb]%INPUT_PLAYER_USE_BIND%[rb].[/color]
ROLE_HINT_SCP_049_2,[color=#ffff00]Follow orders from SCP-049.[/color]
ROLE_HINT_SCP_457,[color=#00ff00]Press [lb]%INPUT_PLAYER_USE_BIND%[rb] on fuel canisters to regain stamina.[/color]
ROLE_HINT_SCP_939,[color=#00ff00]You can toggle climbing on walls with [lb]%INPUT_PLAYER_SPRINT_BIND%[rb].[/color]
SCP_106_PORTAL_PLACE,Place Portal
SCP_106_PORTAL_RTP,Random Teleport
SCP_106_PORTAL_RTP_WARN,Has a long cooldown.\nYour portal will be moved.
SCP_106_PORTAL_USE,Use Portal
