# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
5 2 0 ff0000
6 2 0 ffff00
7 2 0 ffff00
8 2 0 ff0000
9 2 0 ffff00
10 2 0 ffff00
11 2 0 ff0000
8 3 0 ffff00
11 3 0 ffff00
8 4 0 ffff00
11 4 0 ffff00
8 5 0 ff0000
11 5 0 ff0000
12 5 0 ffff00
13 5 0 ffff00
14 5 0 ff0000
8 6 0 ffff00
11 6 0 ffff00
8 7 0 ffff00
11 7 0 ffff00
8 8 0 ff0000
9 8 0 ffff00
10 8 0 ffff00
11 8 0 ff0000
12 8 0 ffff00
13 8 0 ffff00
14 8 0 ff0000
8 9 0 ffff00
14 9 0 ffff00
8 10 0 ffff00
14 10 0 ffff00
8 11 0 ff0000
14 11 0 ff0000
8 12 0 ffff00
8 13 0 ffff00
8 14 0 ff0000
9 14 0 ffff00
10 14 0 ffff00
11 14 0 ff0000
